date,sales,category,region
2024-05-18,1363,Food,South
2024-05-19,1368,Home,East
2024-05-20,1402,Electronics,East
2024-05-21,1324,Clothing,South
2024-05-22,1217,Food,West
2024-05-23,1368,Home,West
2024-05-24,1283,Electronics,South
2024-05-25,1337,Clothing,North
2024-05-26,1327,Food,East
2024-05-27,1188,Home,West
2024-05-28,1321,Electronics,East
2024-05-29,1355,Clothing,North
2024-05-30,1232,Food,North
2024-05-31,1235,Home,North
2024-06-01,1209,Electronics,North
2024-06-02,1160,Clothing,East
2024-06-03,1196,Food,North
2024-06-04,1280,Home,South
2024-06-05,1248,Electronics,West
2024-06-06,1169,Clothing,West
2024-06-07,1247,Food,West
2024-06-08,1305,Home,West
2024-06-09,1155,Electronics,West
2024-06-10,1144,Clothing,West
2024-06-11,1136,Food,South
2024-06-12,1307,Home,East
2024-06-13,1180,Electronics,South
2024-06-14,1239,Clothing,North
2024-06-15,1131,Food,East
2024-06-16,1192,Home,South
2024-06-17,1117,Electronics,West
2024-06-18,1232,Clothing,West
2024-06-19,1180,Food,East
2024-06-20,1268,Home,West
2024-06-21,1120,Electronics,South
2024-06-22,1238,Clothing,West
2024-06-23,1166,Food,East
2024-06-24,1176,Home,North
2024-06-25,1236,Electronics,West
2024-06-26,1213,Clothing,West
2024-06-27,1087,Food,East
2024-06-28,1030,Home,West
2024-06-29,1169,Electronics,North
2024-06-30,1022,Clothing,West
2024-07-01,1205,Food,East
2024-07-02,1032,Home,West
2024-07-03,1129,Electronics,West
2024-07-04,1082,Clothing,West
2024-07-05,1035,Food,East
2024-07-06,1105,Home,West
2024-07-07,1023,Electronics,East
2024-07-08,1124,Clothing,West
2024-07-09,1064,Food,West
2024-07-10,1019,Home,East
2024-07-11,1027,Electronics,West
2024-07-12,1084,Clothing,North
2024-07-13,1091,Food,West
2024-07-14,1057,Home,West
2024-07-15,1005,Electronics,East
2024-07-16,959,Clothing,East
2024-07-17,1034,Food,East
2024-07-18,1088,Home,East
2024-07-19,1079,Electronics,South
2024-07-20,966,Clothing,West
2024-07-21,916,Food,South
2024-07-22,909,Home,North
2024-07-23,1070,Electronics,North
2024-07-24,989,Clothing,West
2024-07-25,1047,Food,South
2024-07-26,936,Home,East
2024-07-27,1042,Electronics,South
2024-07-28,1059,Clothing,South
2024-07-29,994,Food,North
2024-07-30,885,Home,West
2024-07-31,878,Electronics,West
2024-08-01,1013,Clothing,East
2024-08-02,1020,Food,East
2024-08-03,884,Home,East
2024-08-04,1039,Electronics,West
2024-08-05,902,Clothing,North
2024-08-06,928,Food,West
2024-08-07,938,Home,North
2024-08-08,865,Electronics,West
2024-08-09,953,Clothing,East
2024-08-10,999,Food,South
2024-08-11,897,Home,North
2024-08-12,886,Electronics,East
2024-08-13,857,Clothing,South
2024-08-14,905,Food,North
2024-08-15,843,Home,North
2024-08-16,901,Electronics,South
2024-08-17,975,Clothing,South
2024-08-18,976,Food,West
2024-08-19,881,Home,North
2024-08-20,967,Electronics,South
2024-08-21,871,Clothing,West
2024-08-22,848,Food,North
2024-08-23,878,Home,North
2024-08-24,836,Electronics,North
2024-08-25,780,Clothing,East
2024-08-26,928,Food,East
2024-08-27,784,Home,South
2024-08-28,763,Electronics,South
2024-08-29,912,Clothing,South
2024-08-30,940,Food,North
2024-08-31,781,Home,North
2024-09-01,832,Electronics,West
2024-09-02,896,Clothing,East
2024-09-03,919,Food,North
2024-09-04,797,Home,West
2024-09-05,802,Electronics,North
2024-09-06,850,Clothing,North
2024-09-07,802,Food,West
2024-09-08,817,Home,East
2024-09-09,831,Electronics,West
2024-09-10,918,Clothing,South
2024-09-11,916,Food,North
2024-09-12,819,Home,South
2024-09-13,818,Electronics,West
2024-09-14,788,Clothing,North
2024-09-15,758,Food,West
2024-09-16,841,Home,North
2024-09-17,766,Electronics,South
2024-09-18,767,Clothing,West
2024-09-19,837,Food,East
2024-09-20,847,Home,South
2024-09-21,873,Electronics,North
2024-09-22,873,Clothing,South
2024-09-23,763,Food,South
2024-09-24,705,Home,South
2024-09-25,765,Electronics,South
2024-09-26,836,Clothing,West
2024-09-27,736,Food,South
2024-09-28,881,Home,West
2024-09-29,865,Electronics,West
2024-09-30,845,Clothing,West
2024-10-01,849,Food,North
2024-10-02,729,Home,South
2024-10-03,776,Electronics,North
2024-10-04,755,Clothing,West
2024-10-05,797,Food,East
2024-10-06,866,Home,East
2024-10-07,793,Electronics,South
2024-10-08,856,Clothing,East
2024-10-09,875,Food,North
2024-10-10,892,Home,South
2024-10-11,834,Electronics,East
2024-10-12,767,Clothing,West
2024-10-13,835,Food,West
2024-10-14,822,Home,South
2024-10-15,778,Electronics,North
2024-10-16,872,Clothing,South
2024-10-17,784,Food,South
2024-10-18,894,Home,East
2024-10-19,845,Electronics,South
2024-10-20,764,Clothing,East
2024-10-21,912,Food,South
2024-10-22,783,Home,West
2024-10-23,858,Electronics,East
2024-10-24,772,Clothing,North
2024-10-25,826,Food,East
2024-10-26,741,Home,South
2024-10-27,860,Electronics,South
2024-10-28,863,Clothing,South
2024-10-29,915,Food,North
2024-10-30,871,Home,South
2024-10-31,886,Electronics,West
2024-11-01,772,Clothing,West
2024-11-02,814,Food,South
2024-11-03,801,Home,East
2024-11-04,865,Electronics,North
2024-11-05,834,Clothing,South
2024-11-06,822,Food,South
2024-11-07,779,Home,East
2024-11-08,758,Electronics,East
2024-11-09,834,Clothing,North
2024-11-10,859,Food,North
2024-11-11,899,Home,West
2024-11-12,921,Electronics,West
2024-11-13,808,Clothing,North
2024-11-14,890,Food,South
2024-11-15,885,Home,West
2024-11-16,971,Electronics,West
2024-11-17,835,Clothing,East
2024-11-18,797,Food,East
2024-11-19,878,Home,East
2024-11-20,943,Electronics,South
2024-11-21,953,Clothing,South
2024-11-22,979,Food,North
2024-11-23,921,Home,North
2024-11-24,904,Electronics,West
2024-11-25,935,Clothing,South
2024-11-26,871,Food,South
2024-11-27,995,Home,East
2024-11-28,918,Electronics,West
2024-11-29,861,Clothing,East
2024-11-30,996,Food,East
2024-12-01,863,Home,West
2024-12-02,919,Electronics,South
2024-12-03,861,Clothing,South
2024-12-04,984,Food,South
2024-12-05,895,Home,East
2024-12-06,857,Electronics,West
2024-12-07,944,Clothing,North
2024-12-08,1051,Food,South
2024-12-09,894,Home,East
2024-12-10,914,Electronics,North
2024-12-11,1007,Clothing,West
2024-12-12,958,Food,South
2024-12-13,905,Home,South
2024-12-14,963,Electronics,West
2024-12-15,951,Clothing,North
2024-12-16,985,Food,North
2024-12-17,1078,Home,East
2024-12-18,1101,Electronics,East
2024-12-19,1093,Clothing,South
2024-12-20,1115,Food,North
2024-12-21,1111,Home,North
2024-12-22,938,Electronics,North
2024-12-23,1003,Clothing,North
2024-12-24,1056,Food,South
2024-12-25,1039,Home,North
2024-12-26,970,Electronics,West
2024-12-27,1142,Clothing,East
2024-12-28,1106,Food,South
2024-12-29,1128,Home,North
2024-12-30,1063,Electronics,North
